iter	Passed	Remaining
153	13379	73500
154	13467	73420
155	13568	73409
156	13657	73332
157	13711	73072
158	13799	72987
159	13884	72893
160	13971	72810
161	14080	72834
162	14144	72630
163	14239	72587
164	14324	72489
165	14425	72473
166	14510	72377
167	14608	72346
168	14695	72259
169	14750	72016
170	14823	71865
171	14892	71689
172	14968	71554
173	15058	71483
174	15149	71418
175	15245	71375
176	15323	71249
177	15398	71109
178	15443	70834
179	15543	70807
180	15614	70651
181	15734	70719
182	15840	70721
183	15939	70687
184	16003	70504
185	16112	70514
186	16209	70470
187	16315	70467
188	16392	70341
189	16502	70352
190	16595	70290
191	16683	70207
192	16750	70041
193	16862	70056
194	16962	70022
195	17072	70031
196	17196	70097
197	17304	70092
198	17411	70082
199	17468	69872
200	17555	69787
201	17639	69684
202	17712	69541
203	17824	69551
204	17868	69296
205	17928	69101
206	17987	68907
207	18034	68668
208	18124	68596
209	18171	68357
210	18254	68259
211	18346	68194
212	18436	68121
213	18520	68022
214	18611	67951
215	18660	67732
216	18744	67635
217	18812	67482
218	18887	67356
219	18941	67157
220	19009	67007
221	19106	66959
222	19212	66942
223	19306	66884
224	19387	66780
225	19475	66700
226	19571	66648
227	19668	66595
228	19756	66516
229	19808	66315
230	19897	66238
231	19966	66095
232	20049	66000
233	20131	65901
234	20225	65840
235	20310	65752
236	20403	65686
237	20476	65559
238	20564	65479
239	20658	65418
240	20754	65362
241	20843	65287
242	20922	65179
243	21017	65118
244	21066	64920
245	21153	64837
246	21248	64778
247	21299	64584
248	21402	64552
249	21510	64532
250	21620	64515
251	21700	64413
252	21789	64335
253	21884	64275
254	21924	64054
255	22024	64007
256	22100	63894
257	22193	63826
258	22300	63801
259	22368	63665
260	22448	63561
261	22540	63490
262	22646	63461
263	22736	63387
264	22810	63266
265	22899	63188
266	22956	63023
267	23048	62953
268	23137	62875
269	23195	62715
270	23252	62551
271	23340	62471
272	23396	62304
273	23484	62224
274	23530	62035
275	23628	61981
276	23722	61919
277	23817	61856
278	23866	61676
279	23939	61558
280	24030	61488
281	24118	61408
282	24216	61353
283	24315	61302
284	24388	61185
285	24482	61120
286	24576	61055
287	24661	60967
288	24718	60813
289	24776	60660
290	24872	60599
291	24921	60426
292	25008	60345
293	25106	60289
294	25191	60203
295	25287	60143
296	25361	60030
297	25444	59939
298	25539	59876
299	25635	59815
300	25725	59740
301	25802	59636
302	25901	59581
303	25989	59501
304	26032	59320
305	26120	59241
306	26220	59188
307	26314	59123
308	26409	59058
309	26500	58984
310	26565	58853
311	26657	58784
312	26761	58738
313	26814	58582
314	26922	58544
315	26974	58387
316	27011	58198
317	27078	58074
318	27139	57938
319	27226	57855
320	27337	57825
321	27432	57761
322	27522	57685
323	27628	57645
324	27726	57586
325	27805	57487
326	27918	57459
327	28032	57432
328	28139	57390
329	28242	57341
330	28348	57297
331	28383	57108
332	28426	56937
333	28515	56860
334	28608	56789
335	28671	56661
336	28766	56594
337	28852	56508
338	28919	56388
339	29012	56318
340	29103	56244
341	29196	56173
342	29252	56032
343	29335	55942
344	29413	55843
345	29498	55757
346	29586	55677
347	29624	55504
348	29688	55378
349	29724	55202
350	29833	55161
351	29938	55114
352	30009	55003
353	30096	54921
354	30193	54858
355	30287	54790
356	30381	54720
357	30444	54596
358	30536	54524
359	30612	54423
360	30652	54257
361	30736	54170
362	30796	54041
363	30890	53973
364	30931	53812
365	31014	53724
366	31107	53654
367	31189	53565
368	31272	53477
369	31390	53448
370	31482	53375
371	31575	53305
372	31682	53257
373	31748	53139
374	31841	53068
375	31932	52993
376	32025	52923
377	32134	52877
378	32218	52791
379	32319	52731
380	32425	52680
381	32511	52597
382	32557	52449
383	32643	52364
384	32737	52295
385	32793	52163
386	32886	52091
387	32972	52008
388	33080	51959
389	33190	51913
390	33302	51870
391	33395	51796
392	33497	51737
393	33608	51692
394	33699	51614
395	33789	51537
396	33841	51401
397	33900	51275
398	33991	51200
